date,time,queue_length,queue_time,people_processed,lane_count
19/12/2023 00:00,13:45:00,13,35,166,11
19/12/2023 00:00,13:50:00,13,49,150,11
19/12/2023 00:00,13:55:00,11,39,135,11
19/12/2023 00:00,14:00:00,26,31,171,11
19/12/2023 00:00,14:05:00,9,61,103,11
19/12/2023 00:00,14:10:00,13,39,113,11
19/12/2023 00:00,14:15:00,6,37,123,11
19/12/2023 00:00,14:20:00,21,61,110,11
19/12/2023 00:00,14:25:00,18,63,142,11
19/12/2023 00:00,14:30:00,9,79,99,11
19/12/2023 00:00,14:35:00,10,35,133,11
19/12/2023 00:00,14:40:00,10,39,139,11
19/12/2023 00:00,14:45:00,9,57,120,11
19/12/2023 00:00,14:50:00,2,49,79,11
19/12/2023 00:00,14:55:00,11,65,95,11
19/12/2023 00:00,15:00:00,22,51,102,10
19/12/2023 00:00,15:05:00,14,49,92,8
19/12/2023 00:00,15:10:00,14,61,72,8
19/12/2023 00:00,15:15:00,20,73,89,8
19/12/2023 00:00,15:20:00,5,43,75,8
19/12/2023 00:00,15:25:00,8,61,78,8
19/12/2023 00:00,15:30:00,21,51,99,9
19/12/2023 00:00,15:35:00,6,37,59,10
19/12/2023 00:00,15:40:00,9,27,92,10
19/12/2023 00:00,15:45:00,3,31,82,10
19/12/2023 00:00,15:50:00,5,43,82,11
19/12/2023 00:00,15:55:00,9,47,88,11
19/12/2023 00:00,16:00:00,7,13,80,10
19/12/2023 00:00,16:05:00,15,39,77,10
19/12/2023 00:00,16:10:00,7,63,53,10
19/12/2023 00:00,16:15:00,6,63,50,10
19/12/2023 00:00,16:20:00,9,35,95,10
19/12/2023 00:00,16:25:00,4,101,57,10
19/12/2023 00:00,16:30:00,8,39,93,11
19/12/2023 00:00,16:35:00,6,53,55,11
19/12/2023 00:00,16:40:00,5,57,44,11
19/12/2023 00:00,16:45:00,8,43,41,11
19/12/2023 00:00,16:50:00,7,33,46,11
19/12/2023 00:00,16:55:00,7,33,35,11
19/12/2023 00:00,17:00:00,9,39,64,8
19/12/2023 00:00,17:05:00,5,73,34,8
19/12/2023 00:00,17:10:00,2,47,42,8
19/12/2023 00:00,17:15:00,6,45,54,7
19/12/2023 00:00,17:20:00,7,47,59,6
19/12/2023 00:00,17:25:00,3,31,65,6
19/12/2023 00:00,17:30:00,10,33,76,6
19/12/2023 00:00,17:35:00,11,67,90,8
19/12/2023 00:00,17:40:00,11,57,106,8
19/12/2023 00:00,17:45:00,11,51,98,8
19/12/2023 00:00,17:50:00,8,73,71,8
19/12/2023 00:00,17:55:00,10,53,68,8
19/12/2023 00:00,18:00:00,13,55,83,8
19/12/2023 00:00,18:05:00,14,61,115,8
19/12/2023 00:00,18:10:00,10,35,88,8
19/12/2023 00:00,18:15:00,13,41,112,8
19/12/2023 00:00,18:20:00,11,63,105,8
19/12/2023 00:00,18:25:00,14,39,131,8
19/12/2023 00:00,18:30:00,10,27,136,9
19/12/2023 00:00,18:35:00,10,47,150,9
19/12/2023 00:00,18:40:00,10,49,138,10
19/12/2023 00:00,18:45:00,13,39,165,11
19/12/2023 00:00,18:50:00,24,35,155,11
19/12/2023 00:00,18:55:00,15,43,153,11
19/12/2023 00:00,19:00:00,15,45,180,11
19/12/2023 00:00,19:05:00,16,27,151,11
19/12/2023 00:00,19:10:00,25,59,164,11
19/12/2023 00:00,19:15:00,46,63,186,11
19/12/2023 00:00,19:20:00,35,47,192,12
19/12/2023 00:00,19:25:00,39,65,205,12
19/12/2023 00:00,19:30:00,51,101,196,12
19/12/2023 00:00,19:35:00,63,75,209,12
19/12/2023 00:00,19:40:00,39,67,212,12
19/12/2023 00:00,19:45:00,23,57,233,12
19/12/2023 00:00,19:50:00,30,61,224,12
19/12/2023 00:00,19:55:00,21,45,152,12
19/12/2023 00:00,20:00:00,26,59,178,12
19/12/2023 00:00,20:05:00,44,53,155,12
19/12/2023 00:00,20:10:00,63,122,179,12
19/12/2023 00:00,20:15:00,124,197,166,12
19/12/2023 00:00,20:20:00,120,305,162,12
19/12/2023 00:00,20:25:00,128,307,136,11
19/12/2023 00:00,20:30:00,100,321,128,10
19/12/2023 00:00,20:35:00,44,115,175,10
19/12/2023 00:00,20:40:00,24,81,167,10
19/12/2023 00:00,20:45:00,7,37,83,10
19/12/2023 00:00,20:50:00,7,33,57,10
19/12/2023 00:00,20:55:00,7,117,32,6
19/12/2023 00:00,21:00:00,4,87,38,4
19/12/2023 00:00,21:05:00,4,65,14,4
19/12/2023 00:00,21:10:00,2,95,8,3
19/12/2023 00:00,21:15:00,3,127,9,4
19/12/2023 00:00,21:20:00,3,95,5,4
19/12/2023 00:00,21:25:00,0,26,20,2
19/12/2023 00:00,21:30:00,1,38,5,2
19/12/2023 00:00,21:35:00,1,41,4,2
19/12/2023 00:00,21:40:00,0,1,0,1
19/12/2023 00:00,21:45:00,0,0,3,2
19/12/2023 00:00,21:50:00,1,24,1,2
19/12/2023 00:00,21:55:00,0,0,3,1
19/12/2023 00:00,22:00:00,0,0,1,1
19/12/2023 00:00,22:05:00,0,0,3,1
19/12/2023 00:00,22:10:00,0,0,0,1
19/12/2023 00:00,22:15:00,0,0,1,1
19/12/2023 00:00,22:20:00,0,0,0,1
19/12/2023 00:00,22:25:00,0,0,2,1
19/12/2023 00:00,22:30:00,0,0,2,1
19/12/2023 00:00,22:35:00,0,0,4,1
19/12/2023 00:00,22:40:00,0,0,0,1
19/12/2023 00:00,22:45:00,0,0,5,1
19/12/2023 00:00,22:50:00,0,0,2,1
19/12/2023 00:00,22:55:00,0,0,3,1
20/12/2023 00:00,4:00:00,1,16,44,5
20/12/2023 00:00,4:05:00,7,29,82,6
20/12/2023 00:00,4:10:00,10,45,140,6
20/12/2023 00:00,4:15:00,21,35,142,6
20/12/2023 00:00,4:20:00,26,55,136,6
20/12/2023 00:00,4:25:00,8,51,136,6
20/12/2023 00:00,4:30:00,5,43,84,6
20/12/2023 00:00,4:35:00,3,39,68,6
20/12/2023 00:00,4:40:00,6,53,66,6
20/12/2023 00:00,4:45:00,8,87,77,6
20/12/2023 00:00,4:50:00,9,63,64,6
20/12/2023 00:00,4:55:00,7,39,97,6
20/12/2023 00:00,5:00:00,8,53,96,6
20/12/2023 00:00,5:05:00,7,33,93,6
20/12/2023 00:00,5:10:00,9,119,64,6
20/12/2023 00:00,5:15:00,7,69,97,6
20/12/2023 00:00,5:20:00,13,39,110,6
20/12/2023 00:00,5:25:00,12,55,94,6
20/12/2023 00:00,5:30:00,7,29,98,6
20/12/2023 00:00,5:35:00,10,55,102,6
20/12/2023 00:00,5:40:00,10,37,120,6
20/12/2023 00:00,5:45:00,8,97,98,6
20/12/2023 00:00,5:50:00,13,97,82,6
20/12/2023 00:00,5:55:00,12,47,110,6
20/12/2023 00:00,6:00:00,7,59,97,6
20/12/2023 00:00,6:05:00,9,67,85,6
20/12/2023 00:00,6:10:00,14,55,105,6
20/12/2023 00:00,6:15:00,16,59,101,6
20/12/2023 00:00,6:20:00,22,71,92,8
20/12/2023 00:00,6:25:00,17,61,153,9
20/12/2023 00:00,6:30:00,28,57,184,12
20/12/2023 00:00,6:35:00,26,49,175,12
20/12/2023 00:00,6:40:00,6,47,152,13
20/12/2023 00:00,6:45:00,29,57,166,13
20/12/2023 00:00,6:50:00,25,61,199,14
20/12/2023 00:00,6:55:00,30,57,202,14
20/12/2023 00:00,7:00:00,31,59,183,14
20/12/2023 00:00,7:05:00,44,73,183,14
20/12/2023 00:00,7:10:00,45,75,178,15
20/12/2023 00:00,7:15:00,26,77,195,15
20/12/2023 00:00,7:20:00,23,67,161,15
20/12/2023 00:00,7:25:00,32,67,158,15
20/12/2023 00:00,7:30:00,36,75,191,15
20/12/2023 00:00,7:35:00,54,91,222,15
20/12/2023 00:00,7:40:00,26,67,181,15
20/12/2023 00:00,7:45:00,23,73,196,15
20/12/2023 00:00,7:50:00,29,85,211,15
20/12/2023 00:00,7:55:00,33,59,212,15
20/12/2023 00:00,8:00:00,37,63,215,15
20/12/2023 00:00,8:05:00,44,77,203,17
20/12/2023 00:00,8:10:00,35,69,221,17
20/12/2023 00:00,8:15:00,43,77,242,17
20/12/2023 00:00,8:20:00,47,75,212,17
20/12/2023 00:00,8:25:00,26,113,193,17
20/12/2023 00:00,8:30:00,49,99,234,17
20/12/2023 00:00,8:35:00,39,81,209,17
20/12/2023 00:00,8:40:00,74,122,217,17
20/12/2023 00:00,8:45:00,41,65,251,17
